dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
imdb,momentum,8,True,0.01,0.9,0.99620974,39.23497160000261
imdb,momentum,32,True,0.01,0.9,0.9992242,30.627906000008807
imdb,momentum,128,True,0.01,0.9,0.99988866,32.37685849999252
imdb,momentum,256,True,0.01,0.9,0.999959,37.64757849999296
imdb,adagrad,1,True,0.01,0.9,0.9951565,55.02495840001211
imdb,adagrad,8,True,0.01,0.9,0.99849343,35.712087599997176
imdb,adagrad,32,True,0.01,0.9,0.9991516,39.416431099991314
imdb,adagrad,128,True,0.01,0.9,0.9998983,29.786412100002053
imdb,adagrad,256,True,0.01,0.9,0.9998007,29.709843699994963
imdb,sgd,1,False,0.01,1.1,0.9773584788419006,147.3403655000002
imdb,sgd,8,False,0.01,1.1,0.9990402310712856,25.824477999994997
imdb,sgd,32,False,0.01,1.1,0.9998762643355459,9.862696299998788
imdb,sgd,128,False,0.01,1.1,0.9999851098373165,4.97009750000143
imdb,sgd,256,False,0.01,1.1,0.9999928284789066,4.578339399988181
imdb,momentum,1,False,0.01,1.1,0.9536615793716605,150.4953899000102
imdb,momentum,8,False,0.01,1.1,0.9942052660931628,27.88842210000439
imdb,momentum,32,False,0.01,1.1,0.99881299016895,10.349387499998556
imdb,momentum,128,False,0.01,1.1,0.9998752580393313,6.995461200000136
imdb,momentum,256,False,0.01,1.1,0.999951068767639,5.045102599993697
imdb,adagrad,1,False,0.01,1.1,0.9947357622092092,160.9472007000004
imdb,adagrad,8,False,0.01,1.1,0.99827146058222,26.21835490000376
imdb,adagrad,32,False,0.01,1.1,0.9993026866707193,9.881187499995576
imdb,adagrad,128,False,0.01,1.1,0.9998552684946402,6.25833799999964
imdb,adagrad,256,False,0.01,1.1,0.9999227641331544,4.411853099998552
imdb,sgd,1,True,0.01,1.1,0.986362,46.08388439999544
imdb,sgd,8,True,0.01,1.1,0.9994085,31.37134650000371
imdb,sgd,32,True,0.01,1.1,0.9999193,27.50589790000231
imdb,sgd,128,True,0.01,1.1,0.9999906,28.335046399995917
imdb,sgd,256,True,0.01,1.1,0.9999958,28.381480299998657
imdb,momentum,1,True,0.01,1.1,0.96401584,51.00108790000377
imdb,momentum,8,True,0.01,1.1,0.9956895,36.66020959999878
imdb,momentum,32,True,0.01,1.1,0.9992622,28.577365799996187
imdb,momentum,128,True,0.01,1.1,0.9998906,27.29924610001035
imdb,momentum,256,True,0.01,1.1,0.9999732,31.35694950001198
imdb,adagrad,1,True,0.01,1.1,0.99520004,55.49280219999491
imdb,adagrad,8,True,0.01,1.1,0.9988578,30.218223200005013
imdb,adagrad,32,True,0.01,1.1,0.99951935,31.734287800005404
imdb,adagrad,128,True,0.01,1.1,0.99959064,35.176220300010755
imdb,adagrad,256,True,0.01,1.1,0.9999733,26.63748520000081
imdb,sgd,1,False,0.01,1.3,0.9772019653070457,139.78808579999895
imdb,sgd,8,False,0.01,1.3,0.9989966027639076,24.390714199995273
imdb,sgd,32,False,0.01,1.3,0.9998848498548871,10.105220000012196
imdb,sgd,128,False,0.01,1.3,0.9999836300775291,5.970652999996673
imdb,sgd,256,False,0.01,1.3,0.9999933284074126,4.57721180000226
imdb,momentum,1,False,0.01,1.3,0.9452243390276729,150.3760462999926
imdb,momentum,8,False,0.01,1.3,0.992832950479376,25.491399399994407
imdb,momentum,32,False,0.01,1.3,0.9987333193496879,10.065486899999087
imdb,momentum,128,False,0.01,1.3,0.9998119405543399,6.650533099993481
imdb,momentum,256,False,0.01,1.3,0.9999473769114506,4.89481589999923
imdb,adagrad,1,False,0.01,1.3,0.9946069093914034,165.40617059999204
imdb,adagrad,8,False,0.01,1.3,0.9983310761702555,26.00384399999166
imdb,adagrad,32,False,0.01,1.3,0.9993329454789086,10.353504700004123
imdb,adagrad,128,False,0.01,1.3,0.999838193606956,5.428790299993125
imdb,adagrad,256,False,0.01,1.3,0.9999239596841268,4.224054199992679
imdb,sgd,1,True,0.01,1.3,0.9864171,47.378882999997586
imdb,sgd,8,True,0.01,1.3,0.99937356,29.773221200011903
imdb,sgd,32,True,0.01,1.3,0.9999269,28.23544170000241
imdb,sgd,128,True,0.01,1.3,0.9999894,26.408264300000155
imdb,sgd,256,True,0.01,1.3,0.9999963,28.91055050000432
imdb,momentum,1,True,0.01,1.3,0.95746684,49.41905379999662
imdb,momentum,8,True,0.01,1.3,0.9946567,34.48022710000805
imdb,momentum,32,True,0.01,1.3,0.9992657,34.34686910000164
imdb,momentum,128,True,0.01,1.3,0.9998981,27.322516000000178
imdb,momentum,256,True,0.01,1.3,0.9999701,27.751007600003504
imdb,adagrad,1,True,0.01,1.3,0.99510026,59.31421759999648
imdb,adagrad,8,True,0.01,1.3,0.99850523,30.547562600011588
imdb,adagrad,32,True,0.01,1.3,0.99919105,28.301118999996106
imdb,adagrad,128,True,0.01,1.3,0.99985003,31.844050599989714
imdb,adagrad,256,True,0.01,1.3,0.99981415,32.65212509999401
imdb,sgd,1,False,0.01,1.5,0.9772743476346645,153.87712630000897
imdb,sgd,8,False,0.01,1.5,0.9990013075697621,26.910598299989942
imdb,sgd,32,False,0.01,1.5,0.999876276213329,10.551899199999752
imdb,sgd,128,False,0.01,1.5,0.9999799410678707,5.2249183999956585
imdb,sgd,256,False,0.01,1.5,0.9999938188992594,4.391464400003315
imdb,momentum,1,False,0.01,1.5,0.9367905453256572,151.28816630000074
imdb,momentum,8,False,0.01,1.5,0.9920814832695926,25.129639699996915
imdb,momentum,32,False,0.01,1.5,0.9986728085778227,10.003116099993349
imdb,momentum,128,False,0.01,1.5,0.9998263092710556,5.333390400002827
imdb,momentum,256,False,0.01,1.5,0.9999461655801232,4.587151400002767
imdb,adagrad,1,False,0.01,1.5,0.9944315435514552,162.82843019999564
imdb,adagrad,8,False,0.01,1.5,0.9982782813590506,30.342657299988787
imdb,adagrad,32,False,0.01,1.5,0.9992830584411386,9.783247300001676
imdb,adagrad,128,False,0.01,1.5,0.9997877124603307,5.881997799995588
imdb,adagrad,256,False,0.01,1.5,0.9999066604148694,4.163869600000908
imdb,sgd,1,True,0.01,1.5,0.98635507,47.51025110000046
imdb,sgd,8,True,0.01,1.5,0.999405,28.43816119999974
imdb,sgd,32,True,0.01,1.5,0.9999235,27.749208099994576
imdb,sgd,128,True,0.01,1.5,0.9999897,27.588232100009918
imdb,sgd,256,True,0.01,1.5,0.9999956,26.232159799998044
imdb,momentum,1,True,0.01,1.5,0.95091975,50.65524500000174
imdb,momentum,8,True,0.01,1.5,0.9938121,30.27063330000965
imdb,momentum,32,True,0.01,1.5,0.9992461,32.26646210000035
imdb,momentum,128,True,0.01,1.5,0.99992085,33.8220893000107
imdb,momentum,256,True,0.01,1.5,0.9999622,27.761110400009784
imdb,adagrad,1,True,0.01,1.5,0.9934956,53.85785300000862
imdb,adagrad,8,True,0.01,1.5,0.9987032,36.315378500003135
imdb,adagrad,32,True,0.01,1.5,0.9992964,27.80505209999683
imdb,adagrad,128,True,0.01,1.5,0.9998683,27.764697200007504
imdb,adagrad,256,True,0.01,1.5,0.9998654,31.637647100011236
imdb,sgd,1,False,0.01,1.7,0.9773078703336648,140.64260559999093
