dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
imdb,sgd,8,False,0.05,1.0,0.9948694608324145,28.31393129999924
imdb,sgd,32,False,0.05,1.0,0.9994222733331118,10.652664400011417
imdb,sgd,128,False,0.05,1.0,0.9999421576890787,4.8342631999985315
imdb,sgd,256,False,0.05,1.0,0.9999774695781167,4.227171800012002
imdb,momentum,1,False,0.05,1.0,0.9580559803944382,147.47795880000922
imdb,momentum,8,False,0.05,1.0,0.9946859987150505,25.461998700004187
imdb,momentum,32,False,0.05,1.0,0.9987502745128778,10.571770000009565
imdb,momentum,128,False,0.05,1.0,0.9996755011204422,5.23819970000477
imdb,momentum,256,False,0.05,1.0,0.9998208501142478,4.532727700003306
imdb,adagrad,1,False,0.05,1.0,0.9769861630321099,150.5207880000089
imdb,adagrad,8,False,0.05,1.0,0.9970313460398774,26.610484000004362
imdb,adagrad,32,False,0.05,1.0,0.9992976125919811,10.49039960000664
imdb,adagrad,128,False,0.05,1.0,0.9998437499826038,6.8396462999953656
imdb,adagrad,256,False,0.05,1.0,0.9999335450103639,4.743838800000958
imdb,sgd,1,True,0.05,1.0,0.9672395,55.92146679999132
imdb,sgd,8,True,0.05,1.0,0.9968805,29.919341100001475
imdb,sgd,32,True,0.05,1.0,0.9996,28.626431000011507
imdb,sgd,128,True,0.05,1.0,0.99996054,32.27680259999761
imdb,sgd,256,True,0.05,1.0,0.99997675,31.627025299996603
imdb,momentum,1,True,0.05,1.0,0.96751416,49.069450099996175
imdb,momentum,8,True,0.05,1.0,0.99603283,34.83902860000671
imdb,momentum,32,True,0.05,1.0,0.999048,32.95751500000188
imdb,momentum,128,True,0.05,1.0,0.99973816,26.309537499997532
imdb,momentum,256,True,0.05,1.0,0.9998588,28.282457900000736
imdb,adagrad,1,True,0.05,1.0,0.9767823,49.27857040001254
imdb,adagrad,8,True,0.05,1.0,0.9963198,32.527395900004194
imdb,adagrad,32,True,0.05,1.0,0.99892986,27.062278600002173
imdb,adagrad,128,True,0.05,1.0,0.99976087,27.610287199990125
imdb,adagrad,256,True,0.05,1.0,0.9998526,29.043687199999113
imdb,sgd,1,False,0.05,2.5,0.8951073494255148,145.14934459999495
imdb,sgd,8,False,0.05,2.5,0.9948257588784128,25.730681899993215
imdb,sgd,32,False,0.05,2.5,0.9992773197562757,10.10470169999462
imdb,sgd,128,False,0.05,2.5,0.9999280403189219,6.8944009999977425
imdb,sgd,256,False,0.05,2.5,0.9999707223983092,5.120566500001587
imdb,momentum,1,False,0.05,2.5,0.8948260533829933,151.28140790000907
imdb,momentum,8,False,0.05,2.5,0.9865932374890178,24.36220659999526
imdb,momentum,32,False,0.05,2.5,0.996965600285526,9.650047999995877
imdb,momentum,128,False,0.05,2.5,0.9991794641968637,5.809561600006418
imdb,momentum,256,False,0.05,2.5,0.999734675398798,4.44166640000185
imdb,adagrad,1,False,0.05,2.5,0.9770052928014443,149.86674019999919
imdb,adagrad,8,False,0.05,2.5,0.9932920543306459,27.594536000004155
imdb,adagrad,32,False,0.05,2.5,0.9983380847394799,9.949202600007993
imdb,adagrad,128,False,0.05,2.5,0.9996121419776454,6.313635299986345
imdb,adagrad,256,False,0.05,2.5,0.9998685222623559,4.457532800006447
imdb,sgd,1,True,0.05,2.5,0.9313208,49.552986700000474
imdb,sgd,8,True,0.05,2.5,0.9969715,36.77015689999098
imdb,sgd,32,True,0.05,2.5,0.99960184,28.580511200008914
imdb,sgd,128,True,0.05,2.5,0.99995047,27.464079099998344
imdb,sgd,256,True,0.05,2.5,0.99998003,31.230038699999568
imdb,momentum,1,True,0.05,2.5,0.9183786,55.63389199999801
imdb,momentum,8,True,0.05,2.5,0.989578,29.969041899996228
imdb,momentum,32,True,0.05,2.5,0.99722266,30.858199100010097
imdb,momentum,128,True,0.05,2.5,0.9994738,33.61912750000192
imdb,momentum,256,True,0.05,2.5,0.99983764,27.496226199989906
imdb,adagrad,1,True,0.05,2.5,0.978933,50.770547899999656
imdb,adagrad,8,True,0.05,2.5,0.9941083,29.05698380000831
imdb,adagrad,32,True,0.05,2.5,0.99779236,28.20939060000819
imdb,adagrad,128,True,0.05,2.5,0.99938893,27.40115410000726
imdb,adagrad,256,True,0.05,2.5,0.9995169,26.051355399991735
imdb,sgd,1,False,0.05,5.0,0.8872480430131626,145.50874360000307
imdb,sgd,8,False,0.05,5.0,0.9948350754840409,24.704030399996554
imdb,sgd,32,False,0.05,5.0,0.9993311333383685,9.344911300009699
imdb,sgd,128,False,0.05,5.0,0.999919931217561,5.6992518000042764
imdb,sgd,256,False,0.05,5.0,0.9999712404021386,4.219093200008501
imdb,momentum,1,False,0.05,5.0,0.7957587123706266,147.23179890000029
imdb,momentum,8,False,0.05,5.0,0.976850476772676,27.840702600005898
imdb,momentum,32,False,0.05,5.0,0.9965545440697403,10.548270200000843
imdb,momentum,128,False,0.05,5.0,0.9991977298294948,7.12895070000377
imdb,momentum,256,False,0.05,5.0,0.9997508266390696,4.947701400000369
imdb,adagrad,1,False,0.05,5.0,0.9698383915607719,150.372683900001
imdb,adagrad,8,False,0.05,5.0,0.9907040558960494,25.80229339998914
imdb,adagrad,32,False,0.05,5.0,0.9970906076891716,10.171145999993314
imdb,adagrad,128,False,0.05,5.0,0.9993416445066086,6.034366399995633
imdb,adagrad,256,False,0.05,5.0,0.9997008592977461,5.224920099994051
imdb,sgd,1,True,0.05,5.0,0.93216497,48.9690941000008
imdb,sgd,8,True,0.05,5.0,0.9970575,30.79037650000828
imdb,sgd,32,True,0.05,5.0,0.99960023,33.09936460001336
imdb,sgd,128,True,0.05,5.0,0.99995816,32.22725130000617
imdb,sgd,256,True,0.05,5.0,0.99997747,27.479318700003205
imdb,momentum,1,True,0.05,5.0,0.8372814,53.51356380000652
imdb,momentum,8,True,0.05,5.0,0.9797423,35.21908700000495
imdb,momentum,32,True,0.05,5.0,0.9962754,27.696287599988864
